ImageId,BuildingId,PolygonWKT_Pix,PolygonWKT_Geo
AOI_2_Vegas_img2144,1,"POLYGON ((571.34 510.8 0,496.2 516.23 0,500.02 550.67 0,508.61 550.05 0,509.28 556.12 0,500.69 556.74 0,501.94 567.96 0,510.03 567.38 0,510.76 573.9 0,502.66 574.48 0,504.2 588.32 0,512.65 587.71 0,515.39 612.46 0,506.95 613.07 0,508.28 625.1 0,514.88 624.62 0,517.69 650.0 0,580.48 650.0 0,579.59 641.94 0,590.96 641.12 0,588.83 621.93 0,581.06 622.49 0,579.4 607.57 0,577.92 594.23 0,585.69 593.67 0,584.93 586.75 0,580.22 587.09 0,578.05 567.58 0,572.85 567.95 0,568.68 530.44 0,578.6 529.73 0,578.05 524.81 0,572.94 525.17 0,571.34 510.8 0))","POLYGON ((-115.246304971999962 36.198873544000037 0,-115.246300664999978 36.198834728000065 0,-115.246286856999973 36.198835725000038 0,-115.246285382999986 36.198822441000061 0,-115.246312154999941 36.198820506000061 0,-115.246300915999939 36.198719228000073 0,-115.246286859999898 36.198720244000071 0,-115.246281013999976 36.198667557000078 0,-115.246268296999972 36.19866847600008 0,-115.246266223999953 36.198649795000051 0,-115.246287202999952 36.198648279000054 0,-115.246283207999966 36.19861226900008 0,-115.246278735999965 36.198571970000046 0,-115.246257755999977 36.198573486000043 0,-115.246252005999963 36.198521669000058 0,-115.246282718999964 36.198519449000059 0,-115.246280305206909 36.198497699869698 0,-115.246449831279946 36.198497699869698 0,-115.246457434999968 36.198566213000049 0,-115.246475240999985 36.198564926000074 0,-115.246478845999945 36.198597410000048 0,-115.246456042999966 36.19859905800007 0,-115.24646345799999 36.198665887000061 0,-115.246486260999973 36.198664238000049 0,-115.246490406999953 36.198701595000045 0,-115.246468553999989 36.198703174000059 0,-115.246470507999959 36.198720782000066 0,-115.24649236099998 36.198719203000053 0,-115.246495723999942 36.19874950500008 0,-115.246472533999963 36.198751181000034 0,-115.24647435299994 36.198767578000059 0,-115.246497542999975 36.198765902000048 0,-115.246507861999987 36.198858882000025 0,-115.246304971999962 36.198873544000037 0))"
AOI_2_Vegas_img2144,2,"POLYGON ((627.03 560.04 0,623.45 575.78 0,642.35 578.58 0,645.92 562.83 0,627.03 560.04 0))","POLYGON ((-115.246154624999974 36.198740595000061 0,-115.24610361 36.198733048000065 0,-115.246113267999988 36.198690535000026 0,-115.246164281999938 36.198698082000078 0,-115.246154624999974 36.198740595000061 0))"
AOI_2_Vegas_img2144,3,"POLYGON ((625.08 493.14 0,619.17 510.61 0,612.6 509.17 0,606.43 527.43 0,612.31 528.73 0,610.0 535.56 0,620.79 537.94 0,615.49 553.62 0,640.49 559.13 0,645.79 543.44 0,650.0 544.36 0,650.0 498.62 0,625.08 493.14 0))","POLYGON ((-115.246159889999902 36.198921227000028 0,-115.246092599877571 36.198906417050573 0,-115.246092599877571 36.198782915120347 0,-115.246103954999967 36.198785414000042 0,-115.246118270999943 36.198743056000069 0,-115.246185784999966 36.198757914000055 0,-115.246171468999989 36.198800273000074 0,-115.24620061 36.198806687000058 0,-115.24619437299998 36.198825139000064 0,-115.246210240999972 36.198828631000026 0,-115.246193572999971 36.198877952000032 0,-115.246175834999974 36.19887404800005 0,-115.246159889999902 36.198921227000028 0))"
AOI_2_Vegas_img2144,4,"POLYGON ((650.0 555.14 0,650.0 545.56 0,646.99 554.47 0,650.0 555.14 0))","POLYGON ((-115.246092599877571 36.198753830681085 0,-115.24610073499997 36.198755621000032 0,-115.246092599877571 36.198779692034996 0,-115.246092599877571 36.198753830681085 0))"
AOI_2_Vegas_img2144,5,"POLYGON ((633.23 397.99 0,610.57 459.43 0,650.0 468.9 0,650.0 400.56 0,649.51 401.9 0,633.23 397.99 0))","POLYGON ((-115.246137888999954 36.19917812500006 0,-115.246093934999976 36.199167571000032 0,-115.246092599877571 36.199171191513209 0,-115.246092599877571 36.198986678352156 0,-115.24619906099997 36.199012244000073 0,-115.246137888999954 36.19917812500006 0))"
AOI_2_Vegas_img2144,6,"POLYGON ((617.04 307.74 0,545.13 297.26 0,542.02 311.16 0,536.89 310.42 0,532.55 329.83 0,543.49 331.43 0,542.13 337.52 0,531.18 335.93 0,528.39 348.42 0,539.65 350.06 0,538.35 355.88 0,527.09 354.24 0,522.54 374.55 0,531.66 375.88 0,529.03 387.61 0,544.63 389.88 0,543.21 396.22 0,527.62 393.95 0,524.75 406.77 0,515.62 405.44 0,511.18 425.31 0,522.33 426.93 0,521.21 431.94 0,510.06 430.32 0,507.09 443.58 0,519.91 445.45 0,518.8 450.44 0,505.97 448.57 0,500.7 472.11 0,525.31 475.7 0,522.8 486.93 0,530.67 488.08 0,529.48 493.39 0,544.48 495.58 0,545.67 490.26 0,546.48 486.63 0,580.86 491.64 0,583.89 478.1 0,578.4 477.3 0,588.8 430.85 0,594.29 431.65 0,597.48 417.38 0,589.73 416.25 0,592.58 403.53 0,600.33 404.66 0,608.48 368.23 0,601.47 367.21 0,607.47 340.4 0,614.48 341.43 0,618.62 322.91 0,613.8 322.21 0,617.04 307.74 0))","POLYGON ((-115.246181588999946 36.199421795000035 0,-115.24619033099998 36.199382735000029 0,-115.24617731799998 36.199380839000071 0,-115.246188505999953 36.19933085100007 0,-115.246207420999951 36.199333607000028 0,-115.246223620999956 36.199261230000047 0,-115.246204703999979 36.199258473000043 0,-115.246226715999967 36.19916012200008 0,-115.246247634999975 36.199163171000066 0,-115.246255320999978 36.199128832000042 0,-115.24623440199997 36.199125783000056 0,-115.246243027999981 36.199087241000029 0,-115.246257842999967 36.199089401000037 0,-115.24628590899999 36.198964001000036 0,-115.246271093999951 36.198961841000028 0,-115.246279276999985 36.198925281000072 0,-115.2463721 36.198938809000026 0,-115.246374296999988 36.198928992000049 0,-115.24637751 36.198914635000051 0,-115.246417991999976 36.19892053500007 0,-115.246414778999963 36.198934892000068 0,-115.246436050999989 36.198937993000072 0,-115.246429264999961 36.198968312000034 0,-115.246495701999947 36.198977996000053 0,-115.246481475999985 36.199041563000037 0,-115.246446845999969 36.199036517000025 0,-115.24644383 36.199049991000038 0,-115.24647846 36.199055037000051 0,-115.246470444999943 36.199090847000036 0,-115.246440326999959 36.199086457000078 0,-115.2464373 36.199099978000049 0,-115.246467418999941 36.199104368000064 0,-115.246455415999947 36.199158001000058 0,-115.246430786999952 36.199154411000052 0,-115.246423038999978 36.19918903000007 0,-115.24638092899994 36.199182893000057 0,-115.246377097999982 36.199200013000052 0,-115.246419206999974 36.199206150000066 0,-115.246412117999967 36.199237826000058 0,-115.246436746999962 36.199241415000074 0,-115.24642447 36.199296264000054 0,-115.246394048999946 36.19929183000005 0,-115.246390533999943 36.199307533000024 0,-115.246420955999952 36.199311967000028 0,-115.246413407999967 36.199345695000034 0,-115.24638386099997 36.19934138800005 0,-115.24638017699999 36.199357850000069 0,-115.246409723999989 36.199362156000063 0,-115.24639799199997 36.199414574000059 0,-115.246384158999945 36.199412558000063 0,-115.246375757999942 36.199450094000042 0,-115.246181588999946 36.199421795000035 0))"
AOI_2_Vegas_img2144,7,"POLYGON ((570.13 191.35 0,565.18 203.44 0,562.18 202.65 0,554.64 221.1 0,563.98 223.59 0,561.97 228.49 0,552.64 226.01 0,550.4 225.41 0,545.34 237.78 0,548.39 238.6 0,557.36 240.98 0,555.26 246.11 0,546.3 243.73 0,537.69 264.79 0,542.81 266.15 0,539.96 273.11 0,610.89 291.99 0,622.5 263.57 0,613.81 261.26 0,615.9 256.14 0,624.6 258.45 0,629.72 245.92 0,621.16 243.64 0,623.64 237.56 0,632.2 239.84 0,639.68 221.54 0,634.37 220.13 0,638.68 209.59 0,570.13 191.35 0))","POLYGON ((-115.246308251999949 36.199736065000025 0,-115.24612317 36.199686804000066 0,-115.2461348 36.19965834900006 0,-115.246120461999965 36.199654534000047 0,-115.24614065 36.199605141000063 0,-115.246163759999902 36.199611292000043 0,-115.24617047299995 36.199594868000077 0,-115.246147362999977 36.19958871700004 0,-115.24616119 36.199554884000065 0,-115.246184662999951 36.199561131000053 0,-115.246190314999978 36.199547307000046 0,-115.24616684099999 36.199541059000069 0,-115.24619819899999 36.199464337000052 0,-115.246389698999963 36.19951530600008 0,-115.246382022999967 36.199534087000075 0,-115.24639584199997 36.199537765000059 0,-115.246372595999958 36.199594638000065 0,-115.246348391999959 36.199588196000036 0,-115.24634273099997 36.199602048000031 0,-115.246366934999969 36.19960849000006 0,-115.246375175999958 36.199610684000049 0,-115.246361524999941 36.199644084000056 0,-115.246355482999945 36.199642476000065 0,-115.246330278999949 36.199635768000064 0,-115.246324866999942 36.199649008000051 0,-115.246350070999938 36.199655717000041 0,-115.246329701999969 36.199705555000037 0,-115.246321602999956 36.199703400000033 0,-115.246308251999949 36.199736065000025 0))"
AOI_2_Vegas_img2144,8,"POLYGON ((650.0 305.14 0,650.0 288.51 0,644.12 303.66 0,650.0 305.14 0))","POLYGON ((-115.246092599877571 36.199428814524907 0,-115.246108467999989 36.199432823000052 0,-115.246092599877571 36.199473728096102 0,-115.246092599877571 36.199428814524907 0))"
AOI_2_Vegas_img2144,9,"POLYGON ((650.0 95.31 0,650 20 0,641.11 22.73 0,642.32 25.3 0,645.99 33.08 0,638.02 35.52 0,634.36 27.75 0,611.42 34.79 0,614.98 42.33 0,593.92 48.8 0,590.37 41.26 0,566.72 48.52 0,569.98 55.43 0,564.2 57.2 0,559.73 47.72 0,543.14 52.81 0,547.75 62.58 0,540.73 64.74 0,536.13 54.97 0,504.6 64.65 0,534.35 127.74 0,545.2 124.41 0,546.47 127.1 0,650.0 95.31 0))","POLYGON ((-115.246092599877571 36.199995373000391 0,-115.246372126999972 36.199909538000043 0,-115.246375550999971 36.199916797000071 0,-115.24640485399999 36.199907799000073 0,-115.246485181999958 36.200078145000077 0,-115.24640006 36.20010428300003 0,-115.24638762 36.200077903000079 0,-115.24636867 36.200083722000045 0,-115.24638111 36.200110102000053 0,-115.24633633 36.200123853000036 0,-115.24632426 36.200098255000057 0,-115.246308660999944 36.200103045000048 0,-115.246317457999965 36.200121700000068 0,-115.246253607999961 36.200141306000035 0,-115.246244002999958 36.200120939000044 0,-115.246187153999983 36.200138397000046 0,-115.24619675699995 36.200158763000047 0,-115.246134836999943 36.200177778000068 0,-115.24612493699999 36.200156784000058 0,-115.24610344 36.200163385000053 0,-115.24611334 36.200184379000063 0,-115.246116613999959 36.20019132200008 0,-115.246092599877571 36.200198696362008 0,-115.246092599877571 36.199995373000391 0))"
AOI_2_Vegas_img2144,10,"POLYGON ((593.74 0.0 0,588.47 0.0 0,593.58 0.75 0,593.74 0.0 0))","POLYGON ((-115.246244490736999 36.200252699873197 0,-115.246244943999955 36.200250683000036 0,-115.246258724188849 36.200252699873197 0,-115.246244490736999 36.200252699873197 0))"
AOI_2_Vegas_img2144,11,"POLYGON ((582.87 0.0 0,511.65 0.0 0,508.66 13.33 0,544.48 18.57 0,541.53 31.68 0,585.19 38.07 0,592.29 6.45 0,581.77 4.91 0,582.87 0.0 0))","POLYGON ((-115.246273848660891 36.200252699873197 0,-115.246276828999953 36.200239439000029 0,-115.24624840599995 36.200235280000072 0,-115.24626759 36.200149921000047 0,-115.246385471999986 36.200167173000068 0,-115.246377515999939 36.200202569000055 0,-115.24647422299995 36.20021672200005 0,-115.246466137224559 36.200252699873197 0,-115.246273848660891 36.200252699873197 0))"
AOI_2_Vegas_img2144,12,"POLYGON ((463.91 650.0 0,483.19 650.0 0,483.13 631.91 0,463.85 631.95 0,463.91 650.0 0))","POLYGON ((-115.246595049920913 36.198497699869698 0,-115.246595205999938 36.19854644600008 0,-115.246543154999983 36.198546555000064 0,-115.246542998462601 36.198497699869698 0,-115.246595049920913 36.198497699869698 0))"
AOI_2_Vegas_img2144,13,"POLYGON ((463.85 623.21 0,481.01 623.15 0,480.75 568.17 0,463.59 568.23 0,463.85 623.21 0))","POLYGON ((-115.246595205999938 36.198570038000071 0,-115.246595918999958 36.198718492000069 0,-115.246549585999958 36.19871863700007 0,-115.246548873999984 36.198570183000072 0,-115.246595205999938 36.198570038000071 0))"
AOI_2_Vegas_img2144,14,"POLYGON ((502.14 312.92 0,482.86 312.92 0,482.86 367.47 0,502.14 367.47 0,502.14 312.92 0))","POLYGON ((-115.246491814999956 36.199407822000069 0,-115.246491814999956 36.199260520000053 0,-115.246543866999957 36.199260520000053 0,-115.246543866999957 36.199407822000069 0,-115.246491814999956 36.199407822000069 0))"
AOI_2_Vegas_img2144,15,"POLYGON ((483.39 249.41 0,482.86 304.82 0,501.87 304.94 0,502.39 249.53 0,483.39 249.41 0))","POLYGON ((-115.246542441999964 36.199579291000077 0,-115.246491133999939 36.19957897300003 0,-115.246492558999989 36.199429370000075 0,-115.246543866999957 36.199429688000066 0,-115.246542441999964 36.199579291000077 0))"
AOI_2_Vegas_img2144,16,"POLYGON ((539.7 157.67 0,643.48 126.34 0,636.62 111.53 0,532.83 142.85 0,539.7 157.67 0))","POLYGON ((-115.24639042199999 36.199827 0,-115.24640895899995 36.199866992000068 0,-115.246128733999967 36.199951575000057 0,-115.24611019799994 36.199911583000073 0,-115.24639042199999 36.199827 0))"
AOI_2_Vegas_img2144,17,"POLYGON ((441.89 129.22 0,441.5 87.89 0,421.47 88.02 0,421.87 129.34 0,441.89 129.22 0))","POLYGON ((-115.246654483999976 36.199903815000027 0,-115.246708561999981 36.199903479000056 0,-115.24670962499999 36.200015058000076 0,-115.246655547999978 36.200015393000058 0,-115.246654483999976 36.199903815000027 0))"
AOI_2_Vegas_img2144,18,"POLYGON ((481.82 72.81 0,499.2 72.81 0,499.2 54.52 0,481.82 54.52 0,481.82 72.81 0))","POLYGON ((-115.246546695999939 36.200056103000065 0,-115.246546695999939 36.200105490000055 0,-115.246499753999956 36.200105490000055 0,-115.246499753999956 36.200056103000065 0,-115.246546695999939 36.200056103000065 0))"
AOI_2_Vegas_img2144,19,"POLYGON ((441.1 21.13 0,440.53 0.0 0,420.71 0.0 0,421.3 21.48 0,441.1 21.13 0))","POLYGON ((-115.246656622999978 36.200195636000046 0,-115.246710101999952 36.200194693000071 0,-115.246711672038828 36.200252699873197 0,-115.246658167804071 36.200252699873197 0,-115.246656622999978 36.200195636000046 0))"
